各省卫视,#genre#
河北卫视,https://cctvtxyh5ca.liveplay.myqcloud.com/wstv/hebei_2/index.m3u8
海南卫视,http://by4.nty.tv189.cn/live/tm-traveltv-800k.m3u8
陕西卫视高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225896/1.m3u8
广东南方,https://cctvtxyh5ca.liveplay.myqcloud.com/wstv/dongnan_2/index.m3u8
广东珠江,http://nclive.grtn.cn/zjpd/sd/live.m3u8
广东公共,http://nclive.grtn.cn/ggpd/sd/live.m3u8
广东影视,http://nclive.grtn.cn/tvs4/sd/live.m3u8
广州综合,http://aplay.gztv.com/sec/zhonghe.m3u8
广州影视,http://aplay.gztv.com/sec/yingshi.m3u8
长沙影视,https://35848.hlsplay.aodianyun.com/guangdianyun_35848/tv_channel_350.m3u8
北京影视,http://by4.nty.tv189.cn/live/tm-btv4-800k.m3u8
南方卫视,http://nclive.grtn.cn/tvs2/sd/live.m3u8
央视频道,#genre#
CCTV1综合,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226155/1.m3u8#http://live-temp-litchi-hls-yf.jstv.com/live/zhibo-cctv1gq/online.m3u8
CCTV2财经,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8#https://cctvcnch5ca.v.wscdns.com/live/cctv2_2/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv2.m3u8
CCTV3综艺,http://211.136.65.174:80/000000001000/1000000001000011218/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=4ef1f6fdd53988bdf19472c73151206f21vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000011218&owchid=ystenlive&owsid=1106497909461779572&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRrAyJU4rR1Dadw9ISEYm5oBbA9lSzNfT0W7kMLAWHUBTbBAjpiIN0Pdi%2fTRm3zPoh#http://ivi.bupt.edu.cn/hls/cctv3.m3u8
CCTV4国际亚洲,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv4_2/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv4.m3u8
CCTV4国际欧洲,https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctveurope_2/index.m3u8
CCTV4国际美洲,https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctvamerica_2/index.m3u8
CCTV5体育,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226340/1.m3u8#http://liveplay-kk.rtxapp.com/live/program/live/cctv5hd/2300000/mnf.m3u8
CCTV5+体育赛事,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225938/1.m3u8#http://117.169.120.160:8080/live/hdcctv05plus/1.m3u8
CCTV6电影,http://111.13.111.160:80/000000001000/1000000001000016466/1.m3u8?channel-id=ystenlive&Contentid=1000000001000016466&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000016466&owchid=ystenlive&owsid=1106497909461115566&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRPL4aTeGJNlZwIkZROfGAKEC3iG4uOUkYNIdPRliCqBi8AjSQtKTBHB8b3LPXJcIA#http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv6_2/index.m3u8#http://cctvalih5ca.v.myalicdn.com/live/cctv6_2/index.m3u8
CCTV7国防军事,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8#https://cctvcnch5ca.v.wscdns.com/live/cctv7_2/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv7.m3u8
CCTV8电视剧,http://111.13.111.160:80/000000001000/1000000001000003736/1.m3u8?channel-id=ystenlive&Contentid=1000000001000003736&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000003736&owchid=ystenlive&owsid=1106497909461132718&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRKhIjYL3aRNrIf2qoTcK90Bd0oe1gvWxxvd9Qs9pkD5eKCeYPeHs2GppHtnd1klhd#http://ivi.bupt.edu.cn/hls/cctv8.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv8_2/index.m3u8
CCTV9记录,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8#http://ivi.bupt.edu.cn/hls/cctv9.m3u8
CCTV10科教,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226227/1.m3u8#https://cctvalih5ca.v.myalicdn.com/live/cctv10_2/index.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv10_2/index.m3u8
CCTV11戏曲,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226315/1.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv11_2/index.m3u8
CCTV12社会与法,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226228/1.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv12_2/index.m3u8
CCTV13新闻,http://120.204.20.107/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv13_2/index.m3u8#http://live.xcyun.net/video/s10001-XCTVSH/index.m3u8
CCTV14少儿,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226229/1.m3u8#http://ivi.bupt.edu.cn/hls/cctv14.m3u8#https://cctvalih5ca.v.myalicdn.com/live/cctvchild_2/index.m3u8
CCTV15音乐,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226317/1.m3u8#http://ivi.bupt.edu.cn/hls/cctv15.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv15_2/index.m3u8
CCTV-17农业,http://211.136.65.174:80/000000001000/1000000005000056836/1.m3u8?channel-id=ystenlive&Contentid=1000000005000056836&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000005000056836&owchid=ystenlive&owsid=1106497909461196027&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE6skxOPttMtBQzbEMb71jMrM9bNA5sjuldmGASVEj1FB1TOzqCEWAK6w%2fJbtYz8kEYu99sUSfTSd48Av%2fzOzjC1
专升本高数,#genre#
1高数基础,https://1258712167.vod2.myqcloud.com/fb8e6c92vodtranscq1258712167/700710c75285890801181342881/drm/voddrm.token.dWluPTEwNDQ1MTczNDM7dm9kX3R5cGU9MDtjaWQ9MTYzMjc4Njt0ZXJtX2lkPTEwMTczMjEwOTtwbHNrZXk9MDAwNDAwMDA0ZmIyODZiZGFiOWJlNTg2NzY5MGJhZTllYzZhMGMwNDRiM2RiOTU5NDA2MTFhYjQxOWI0ODMyNGVmMDkwZGMzMDkzZTg4NmFlYTAxMWQwMjtwc2tleT1hQkpwYjMzajZvOVA3WUhSKnlGdmR0YWN5WHFKNk40Mjg5YW56ZmJzMDJnXw==.master_playlist.m3u8?t=5eb8e37c&exper=0&us=8369689045369911612&sign=2e5cb3ee6a507cf685cca21c0f005889
1第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_17251512_1720115_7.mp4
2第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_17532318_1720115_7.mp4
3第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_17926599_1720115_7.mp4
4第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_18244392_1720115_7.mp4
5第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_110112601_1720115_7.mp4
6第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_110213485_1720115_7.mp4
7第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_110324516_1720115_7.mp4
8第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_110474723_1720115_7.mp4
9第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_110581971_1720115_7.mp4
10第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_110666061_1720115_7.mp4
1第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_111820998_1720115_7.mp4
2.1第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_111921566_1720115_7.mp4
2.2第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_112010269_1720115_7.mp4
3第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_112016410_1720115_7.mp4
4第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_112363545_1720115_7.mp4
5第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_112450593_1720115_7.mp4
6第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_112550121_1720115_7.mp4
7第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_112890240_1720115_7.mp4
8第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_113036390_1720115_7.mp4
9第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_113113781_1720115_7.mp4
电工电子,#genre#
电工电子基础1,http://play-back.zhiboyun.eaydu.com/vod/zby/_112177682_2755412_7.mp4
电工电子基础2,http://play-back.zhiboyun.eaydu.com/vod/zby/_112299870_2755412_7.mp4
电工电子基础3,http://play-back.zhiboyun.eaydu.com/vod/zby/_112363257_2755412_7.mp4
电工电子基础4,http://play-back.zhiboyun.eaydu.com/vod/zby/_112450176_2755412_7.mp4
电工电子基础5,http://play-back.zhiboyun.eaydu.com/vod/zby/_112549934_2755412_7.mp4
电工电子基础6,http://play-back.zhiboyun.eaydu.com/vod/zby/_112634506_2755412_7.mp4
电工电子基础7,http://play-back.zhiboyun.eaydu.com/vod/zby/_112706942_2755412_7.mp4
电工电子基础8,http://play-back.zhiboyun.eaydu.com/vod/zby/_112827576_2755412_7.mp4
电工电子基础9,http://play-back.zhiboyun.eaydu.com/vod/zby/_112890374_2755412_7.mp4
电工电子基础10,http://play-back.zhiboyun.eaydu.com/vod/zby/_113035896_2755412_7.mp4
电工习题1,http://play-back.zhiboyun.eaydu.com/vod/zby/_113951770_2755412_7.mp4
电工习题2,http://play-back.zhiboyun.eaydu.com/vod/zby/_113951855_2755412_7.mp4
电工习题3,http://play-back.zhiboyun.eaydu.com/vod/zby/_113951892_2755412_7.mp4
电工习题4,http://play-back.zhiboyun.eaydu.com/vod/zby/_113951952_2755412_7.mp4
电工习题5,http://play-back.zhiboyun.eaydu.com/vod/zby/_113952042_2755412_7.mp4
互换性,#genre#
1互换性,https://1258712167.vod2.myqcloud.com/fb8e6c92vodtranscq1258712167/7553ca3a5285890800700214145/drm/voddrm.token.dWluPTEwNDQ1MTczNDM7dm9kX3R5cGU9MDtjaWQ9MTU2ODA4OTt0ZXJtX2lkPTEwMTY2NjQyMDtwbHNrZXk9MDAwNDAwMDBiNTQzNDkzMDEzOTgzNmQxNWI2NzQ1YWJiNzgwMjI0NjhhODNmNGQ3NzZjYWZhNzRiMTg3MmY2NGU3ZDAwOWUxMzFkYzkyZmZhNjg3NWM3Nztwc2tleT1sT2RWV2FoKnBjNUJUQUhHSVZYTlZtb3QtN0JiWkpzdTlIZElKcFFKMFZJXw==.master_playlist.m3u8?t=5eb7ceeb&exper=0&us=7539181244471649511&sign=af8c281eb32f1a1b5c81d3da6ce17f26
2互换性,https://1258712167.vod2.myqcloud.com/fb8e6c92vodtranscq1258712167/6eceaeb55285890800697435917/drm/voddrm.token.dWluPTEwNDQ1MTczNDM7dm9kX3R5cGU9MDtjaWQ9MTU2ODA4OTt0ZXJtX2lkPTEwMTY2NjQyMDtwbHNrZXk9MDAwNDAwMDBiNTQzNDkzMDEzOTgzNmQxNWI2NzQ1YWJiNzgwMjI0NjhhODNmNGQ3NzZjYWZhNzRiMTg3MmY2NGU3ZDAwOWUxMzFkYzkyZmZhNjg3NWM3Nztwc2tleT1sT2RWV2FoKnBjNUJUQUhHSVZYTlZtb3QtN0JiWkpzdTlIZElKcFFKMFZJXw==.master_playlist.m3u8?t=5eb7cf0f&exper=0&us=4090669674733952776&sign=7247cdb64af1bcbc43252d4649c9520d
3互换性,https://1258712167.vod2.myqcloud.com/fb8e6c92vodtranscq1258712167/34ce9cf25285890800757564437/drm/voddrm.token.dWluPTEwNDQ1MTczNDM7dm9kX3R5cGU9MDtjaWQ9MTU2ODA4OTt0ZXJtX2lkPTEwMTY2NjQyMDtwbHNrZXk9MDAwNDAwMDBiNTQzNDkzMDEzOTgzNmQxNWI2NzQ1YWJiNzgwMjI0NjhhODNmNGQ3NzZjYWZhNzRiMTg3MmY2NGU3ZDAwOWUxMzFkYzkyZmZhNjg3NWM3Nztwc2tleT1sT2RWV2FoKnBjNUJUQUhHSVZYTlZtb3QtN0JiWkpzdTlIZElKcFFKMFZJXw==.master_playlist.m3u8?t=5eb7cf36&exper=0&us=1652382577940451194&sign=2cb4001e79302291490d56a6578d88e1
4互换性,https://1258712167.vod2.myqcloud.com/fb8e6c92vodtranscq1258712167/ae96324c5285890800745560933/drm/voddrm.token.dWluPTEwNDQ1MTczNDM7dm9kX3R5cGU9MDtjaWQ9MTU2ODA4OTt0ZXJtX2lkPTEwMTY2NjQyMDtwbHNrZXk9MDAwNDAwMDBiNTQzNDkzMDEzOTgzNmQxNWI2NzQ1YWJiNzgwMjI0NjhhODNmNGQ3NzZjYWZhNzRiMTg3MmY2NGU3ZDAwOWUxMzFkYzkyZmZhNjg3NWM3Nztwc2tleT1sT2RWV2FoKnBjNUJUQUhHSVZYTlZtb3QtN0JiWkpzdTlIZElKcFFKMFZJXw==.master_playlist.m3u8?t=5eb7cf51&exper=0&us=8208441402948738065&sign=221a80ae0b41b4a2aaf1e18eb0e70f87
5互换性,https://1258712167.vod2.myqcloud.com/fb8e6c92vodtranscq1258712167/b0a3f84a5285890800745622347/drm/voddrm.token.dWluPTEwNDQ1MTczNDM7dm9kX3R5cGU9MDtjaWQ9MTU2ODA4OTt0ZXJtX2lkPTEwMTY2NjQyMDtwbHNrZXk9MDAwNDAwMDBiNTQzNDkzMDEzOTgzNmQxNWI2NzQ1YWJiNzgwMjI0NjhhODNmNGQ3NzZjYWZhNzRiMTg3MmY2NGU3ZDAwOWUxMzFkYzkyZmZhNjg3NWM3Nztwc2tleT1sT2RWV2FoKnBjNUJUQUhHSVZYTlZtb3QtN0JiWkpzdTlIZElKcFFKMFZJXw==.master_playlist.m3u8?t=5eb7cf76&exper=0&us=2504742421451816768&sign=c7a42e82d45f2976e1691a74b5e89f22
6互换性,https://1258712167.vod2.myqcloud.com/fb8e6c92vodtranscq1258712167/fd8b875e5285890800746611120/drm/voddrm.token.dWluPTEwNDQ1MTczNDM7dm9kX3R5cGU9MDtjaWQ9MTU2ODA4OTt0ZXJtX2lkPTEwMTY2NjQyMDtwbHNrZXk9MDAwNDAwMDBiNTQzNDkzMDEzOTgzNmQxNWI2NzQ1YWJiNzgwMjI0NjhhODNmNGQ3NzZjYWZhNzRiMTg3MmY2NGU3ZDAwOWUxMzFkYzkyZmZhNjg3NWM3Nztwc2tleT1sT2RWV2FoKnBjNUJUQUhHSVZYTlZtb3QtN0JiWkpzdTlIZElKcFFKMFZJXw==.master_playlist.m3u8?t=5eb7cf8c&exper=0&us=631523559485779182&sign=fa192caf8e7d5513fec1cb281be18cf9
7互换性,https://1258712167.vod2.myqcloud.com/fb8e6c92vodtranscq1258712167/9a20522f5285890800748756341/drm/voddrm.token.dWluPTEwNDQ1MTczNDM7dm9kX3R5cGU9MDtjaWQ9MTU2ODA4OTt0ZXJtX2lkPTEwMTY2NjQyMDtwbHNrZXk9MDAwNDAwMDBiNTQzNDkzMDEzOTgzNmQxNWI2NzQ1YWJiNzgwMjI0NjhhODNmNGQ3NzZjYWZhNzRiMTg3MmY2NGU3ZDAwOWUxMzFkYzkyZmZhNjg3NWM3Nztwc2tleT1sT2RWV2FoKnBjNUJUQUhHSVZYTlZtb3QtN0JiWkpzdTlIZElKcFFKMFZJXw==.master_playlist.m3u8?t=5eb7cfa3&exper=0&us=6070472757746761572&sign=91748a0128140eb41b7b6141b626ae21
8互换性,https://1258712167.vod2.myqcloud.com/fb8e6c92vodtranscq1258712167/ca4a5a2b5285890800844040597/drm/voddrm.token.dWluPTEwNDQ1MTczNDM7dm9kX3R5cGU9MDtjaWQ9MTU2ODA4OTt0ZXJtX2lkPTEwMTY2NjQyMDtwbHNrZXk9MDAwNDAwMDBiNTQzNDkzMDEzOTgzNmQxNWI2NzQ1YWJiNzgwMjI0NjhhODNmNGQ3NzZjYWZhNzRiMTg3MmY2NGU3ZDAwOWUxMzFkYzkyZmZhNjg3NWM3Nztwc2tleT1sT2RWV2FoKnBjNUJUQUhHSVZYTlZtb3QtN0JiWkpzdTlIZElKcFFKMFZJXw==.master_playlist.m3u8?t=5eb7cfd3&exper=0&us=2574384950251329860&sign=313c154cfb7864a6529ce5e652f0aea0
9互换性,https://1258712167.vod2.myqcloud.com/fb8e6c92vodtranscq1258712167/b3aca6865285890800830474334/drm/voddrm.token.dWluPTEwNDQ1MTczNDM7dm9kX3R5cGU9MDtjaWQ9MTU2ODA4OTt0ZXJtX2lkPTEwMTY2NjQyMDtwbHNrZXk9MDAwNDAwMDBiNTQzNDkzMDEzOTgzNmQxNWI2NzQ1YWJiNzgwMjI0NjhhODNmNGQ3NzZjYWZhNzRiMTg3MmY2NGU3ZDAwOWUxMzFkYzkyZmZhNjg3NWM3Nztwc2tleT1sT2RWV2FoKnBjNUJUQUhHSVZYTlZtb3QtN0JiWkpzdTlIZElKcFFKMFZJXw==.master_playlist.m3u8?t=5eb7cfec&exper=0&us=5867485990376754716&sign=2a31f2335aa15c547f64f1176e55464f
10互换性,https://1258712167.vod2.myqcloud.com/fb8e6c92vodtranscq1258712167/8c56cbef5285890800850498902/drm/voddrm.token.dWluPTEwNDQ1MTczNDM7dm9kX3R5cGU9MDtjaWQ9MTU2ODA4OTt0ZXJtX2lkPTEwMTY2NjQyMDtwbHNrZXk9MDAwNDAwMDBiNTQzNDkzMDEzOTgzNmQxNWI2NzQ1YWJiNzgwMjI0NjhhODNmNGQ3NzZjYWZhNzRiMTg3MmY2NGU3ZDAwOWUxMzFkYzkyZmZhNjg3NWM3Nztwc2tleT1sT2RWV2FoKnBjNUJUQUhHSVZYTlZtb3QtN0JiWkpzdTlIZElKcFFKMFZJXw==.master_playlist.m3u8?t=5eb7d004&exper=0&us=5016633581541586281&sign=c9631f1e9bb001fee41a3346b2fb29b9
11互换性,https://1258712167.vod2.myqcloud.com/fb8e6c92vodtranscq1258712167/163f12ab5285890800896902214/drm/voddrm.token.dWluPTEwNDQ1MTczNDM7dm9kX3R5cGU9MDtjaWQ9MTU2ODA4OTt0ZXJtX2lkPTEwMTY2NjQyMDtwbHNrZXk9MDAwNDAwMDBiNTQzNDkzMDEzOTgzNmQxNWI2NzQ1YWJiNzgwMjI0NjhhODNmNGQ3NzZjYWZhNzRiMTg3MmY2NGU3ZDAwOWUxMzFkYzkyZmZhNjg3NWM3Nztwc2tleT1sT2RWV2FoKnBjNUJUQUhHSVZYTlZtb3QtN0JiWkpzdTlIZElKcFFKMFZJXw==.master_playlist.m3u8?t=5eb7d017&exper=0&us=6263323406306729857&sign=6944ae434bda96c08a27ccad24493dfa
1互换性习题课,https://1258712167.vod2.myqcloud.com/fb8e6c92vodtranscq1258712167/2e6d02425285890801180800077/drm/voddrm.token.dWluPTEwNDQ1MTczNDM7dm9kX3R5cGU9MDtjaWQ9MTU2ODA4OTt0ZXJtX2lkPTEwMTY2NjQyMDtwbHNrZXk9MDAwNDAwMDA0ZmIyODZiZGFiOWJlNTg2NzY5MGJhZTllYzZhMGMwNDRiM2RiOTU5NDA2MTFhYjQxOWI0ODMyNGVmMDkwZGMzMDkzZTg4NmFlYTAxMWQwMjtwc2tleT1hQkpwYjMzajZvOVA3WUhSKnlGdmR0YWN5WHFKNk40Mjg5YW56ZmJzMDJnXw==.master_playlist.m3u8?t=5eb8e0e3&exper=0&us=5904187870796218131&sign=be60ce5c1fe2160eebee3ec5805ee60f
2互换性习题课,https://1258712167.vod2.myqcloud.com/fb8e6c92vodtranscq1258712167/b80f1d5c5285890801182103622/drm/voddrm.token.dWluPTEwNDQ1MTczNDM7dm9kX3R5cGU9MDtjaWQ9MTU2ODA4OTt0ZXJtX2lkPTEwMTY2NjQyMDtwbHNrZXk9MDAwNDAwMDA0ZmIyODZiZGFiOWJlNTg2NzY5MGJhZTllYzZhMGMwNDRiM2RiOTU5NDA2MTFhYjQxOWI0ODMyNGVmMDkwZGMzMDkzZTg4NmFlYTAxMWQwMjtwc2tleT1hQkpwYjMzajZvOVA3WUhSKnlGdmR0YWN5WHFKNk40Mjg5YW56ZmJzMDJnXw==.master_playlist.m3u8?t=5eb8e0ff&exper=0&us=5902133586430758528&sign=19890727da7ee7b8c33265c09a17b872
3互换性习题课,https://1258712167.vod2.myqcloud.com/fb8e6c92vodtranscq1258712167/baf854725285890801182289638/drm/voddrm.token.dWluPTEwNDQ1MTczNDM7dm9kX3R5cGU9MDtjaWQ9MTU2ODA4OTt0ZXJtX2lkPTEwMTY2NjQyMDtwbHNrZXk9MDAwNDAwMDA0ZmIyODZiZGFiOWJlNTg2NzY5MGJhZTllYzZhMGMwNDRiM2RiOTU5NDA2MTFhYjQxOWI0ODMyNGVmMDkwZGMzMDkzZTg4NmFlYTAxMWQwMjtwc2tleT1hQkpwYjMzajZvOVA3WUhSKnlGdmR0YWN5WHFKNk40Mjg5YW56ZmJzMDJnXw==.master_playlist.m3u8?t=5eb8e246&exper=0&us=3681381008317154986&sign=49998e8cc2d70bb48653ed0e96dbbeb1
4互换性习题课,https://1258712167.vod2.myqcloud.com/fb8e6c92vodtranscq1258712167/4fe6ee2d5285890801184037775/drm/voddrm.token.dWluPTEwNDQ1MTczNDM7dm9kX3R5cGU9MDtjaWQ9MTU2ODA4OTt0ZXJtX2lkPTEwMTY2NjQyMDtwbHNrZXk9MDAwNDAwMDA0ZmIyODZiZGFiOWJlNTg2NzY5MGJhZTllYzZhMGMwNDRiM2RiOTU5NDA2MTFhYjQxOWI0ODMyNGVmMDkwZGMzMDkzZTg4NmFlYTAxMWQwMjtwc2tleT1hQkpwYjMzajZvOVA3WUhSKnlGdmR0YWN5WHFKNk40Mjg5YW56ZmJzMDJnXw==.master_playlist.m3u8?t=5eb8e255&exper=0&us=1302558693996029862&sign=4b7424f48fd5f181ddb99005468af371
5互换性习题课,https://1258712167.vod2.myqcloud.com/fb8e6c92vodtranscq1258712167/87f757645285890801225058641/drm/voddrm.token.dWluPTEwNDQ1MTczNDM7dm9kX3R5cGU9MDtjaWQ9MTU2ODA4OTt0ZXJtX2lkPTEwMTY2NjQyMDtwbHNrZXk9MDAwNDAwMDBhY2E1NzA3YTdlYmJlNzE5NGZlZTIzNDBjZjMzMmIyNGZjNzlmNzgzZGJkOWUxY2M2NTlkMzg4ZGFlYzUyNjY3YTNlMTlmMTE4MjEyMzQ0MTtwc2tleT0qbnpZS0lmd0o1ZUFpVTFEaDN3b0ZiZHJ5cGNBbDBJSXRqNHhQNC16Q1JJXw==.master_playlist.m3u8?t=5eba109c&exper=0&us=2407502753354387444&sign=a484d8e4a3142f809b1fe6b6ad034890
6互换性习题课,https://1258712167.vod2.myqcloud.com/fb8e6c92vodtranscq1258712167/2891502c5285890801227309369/drm/voddrm.token.dWluPTEwNDQ1MTczNDM7dm9kX3R5cGU9MDtjaWQ9MTU2ODA4OTt0ZXJtX2lkPTEwMTY2NjQyMDtwbHNrZXk9MDAwNDAwMDAyNjliNDBmZDA4OTcyMjcyNjgzZTE3YjU4MmVlMjM5MDY4NjUxNjg0YWQ0NTJlZjM3MGNkNWZmNzg0ODY0Mzk2NzkwOGY3MGVhODQ2MGMwNjtwc2tleT1kVUdUZ2l4NERpTmp4M1Z6SFZVbnlzVGQtUnVQMFdkUmVvbjV6VzhwZktJXw==.master_playlist.m3u8?t=5eba2096&exper=0&us=7689955218339381626&sign=ece39f9239e7d2d07b5f852f9e5bb567
7互换性习题课,https://1258712167.vod2.myqcloud.com/fb8e6c92vodtranscq1258712167/c53219435285890801229453106/drm/voddrm.token.dWluPTEwNDQ1MTczNDM7dm9kX3R5cGU9MDtjaWQ9MTU2ODA4OTt0ZXJtX2lkPTEwMTY2NjQyMDtwbHNrZXk9MDAwNDAwMDAyNjliNDBmZDA4OTcyMjcyNjgzZTE3YjU4MmVlMjM5MDY4NjUxNjg0YWQ0NTJlZjM3MGNkNWZmNzg0ODY0Mzk2NzkwOGY3MGVhODQ2MGMwNjtwc2tleT0=.master_playlist.m3u8?t=5eba3273&exper=0&us=1912548310902954694&sign=332903892b59ce342a06bd815674dc83
体育频道,#genre#
New超级体育,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226157/1.m3u8
土耳其赛马,http://tjktv.ercdn.net/tjktv.m3u8
土耳其拳击,http://node01.openfutbol.es/SVoriginOperatorEdge/128761.smil/.m3u8
